played_at,track_name,duration_ms,track_id,artist_name,artist_id,artist_genres,artist_img,album_name,album_id,album_release_year,album_label,album_img
2025-12-16T17:48:52.902Z,Negua Joan da ta,290919,5gBrFzWKlcOdROBfGRxh2p,Zea Mays,00NQwUnyEhXRMG7i0N5UIv,,https://i.scdn.co/image/ab676161000051746bb3e0d79b7cf9f8860ec470,Era,5nLd95zul6MgKruKqHiYuz,2011,Bonberenea,https://i.scdn.co/image/ab67616d00001e024a94c86589efa0f5ecff4a76
2025-12-16T17:52:11.034Z,Ilargia,203346,4j9l98n4c7edpvHThqKsqF,Ken Zazpi,0G45dyImdHkcFZLIFDUgBK,,https://i.scdn.co/image/ab676161000051742b32e7f3f11b729b66d81fe6,Bidean,1RHoRLB0rWJsqkbYDYRwRh,2003,Elkar Argiak,https://i.scdn.co/image/ab67616d00001e02ed13dc3aacb082da81545252
2025-12-16T17:56:55.136Z,Quejios,283026,10noHc4RPJE0q3DTIoOfRy,Marea,5EBH204cwRkvAWknwTAjCQ,,https://i.scdn.co/image/ab676161000051741d240f8776c5c67c12de5cfe,La Patera,567Z7PXaLCXKcEDJXrHvk4,1999,BMG Rights Management and Administration (Spain) S.L.U,https://i.scdn.co/image/ab67616d00001e028e71707d4cc24e9360a89520
2025-12-16T18:01:31.459Z,La vela se apaga,275253,4gtOug9iPDmmCIRKrR3inQ,Marea,5EBH204cwRkvAWknwTAjCQ,,https://i.scdn.co/image/ab676161000051741d240f8776c5c67c12de5cfe,Jauria de perros verdes. Rarezas,2BDzhOvVKvEMENrJ3l7tFY,2007,WM Spain,https://i.scdn.co/image/ab67616d00001e0289611ac70823db061992264a
2025-12-16T18:05:37.621Z,La rueca,244394,7MmbwWzhIQsiVlyn6dAcVN,Marea,5EBH204cwRkvAWknwTAjCQ,,https://i.scdn.co/image/ab676161000051741d240f8776c5c67c12de5cfe,La rueca,3byfnh6HwDrItmunfC7PP1,2004,WM Spain,https://i.scdn.co/image/ab6742d3000053b7b383a42950e0cbbaabf72171
2025-12-16T18:09:23.844Z,Pecadores,216470,48fB7EDpGuE0mOfZi8Hgzs,Marea,5EBH204cwRkvAWknwTAjCQ,,https://i.scdn.co/image/ab676161000051741d240f8776c5c67c12de5cfe,El azogue,5gMmspNMpOex0s3K2Gg7QY,2019,WM Spain,https://i.scdn.co/image/ab67616d00001e02baa505cb58791d106f113a81
2025-12-16T18:12:10.252Z,Trasegando - 2024 Remaster,166529,4Y2H21XVYeGKqxMotlk3yV,Marea,5EBH204cwRkvAWknwTAjCQ,,https://i.scdn.co/image/ab676161000051741d240f8776c5c67c12de5cfe,La Patera (2024 Remaster),6LQei9aTKbuUSZhjaomFJV,2024,BMG Rights Management and Administration (Spain) S.L.U,https://i.scdn.co/image/ab67616d00001e02472948bf1941d686995a4d7f
2025-12-16T18:15:53.281Z,Pan duro (feat. Fito y Fitipaldis),222426,5Ps4lWEwz4xtYmomvZPWv7,Marea,5EBH204cwRkvAWknwTAjCQ,,https://i.scdn.co/image/ab676161000051741d240f8776c5c67c12de5cfe,Besos de Perro,3ZaBh55fphLCCkgYdsWMyz,2002,DRO/Spain,https://i.scdn.co/image/ab67616d00001e0251075735673e5526a11a8697
2025-12-16T18:19:07.836Z,Chica de la ciudad,193666,1Lcwtos99jCxd9iOCcB3rg,Marea,5EBH204cwRkvAWknwTAjCQ,,https://i.scdn.co/image/ab676161000051741d240f8776c5c67c12de5cfe,Jauria de perros verdes. Rarezas,2BDzhOvVKvEMENrJ3l7tFY,2007,WM Spain,https://i.scdn.co/image/ab67616d00001e0289611ac70823db061992264a
2025-12-16T18:22:35.232Z,El Luis,203773,23WkSf5iJ2bVFfaSyRuhtx,Marea,5EBH204cwRkvAWknwTAjCQ,,https://i.scdn.co/image/ab676161000051741d240f8776c5c67c12de5cfe,Jauria de perros verdes. Rarezas,2BDzhOvVKvEMENrJ3l7tFY,2007,WM Spain,https://i.scdn.co/image/ab67616d00001e0289611ac70823db061992264a
